[I 2021-06-13 00:20:04,421] Trial 0 finished with value: 1.75385617977269 and parameters: {'n_estimators': 808, 'max_depth': 3, 'reg_alpha': 3, 'reg_lambda': 4, 'min_child_weight': 4, 'gamma': 0, 'learning_rate': 0.012998717766152497, 'colsample_bytree': 0.35}. Best is trial 0 with value: 1.75385617977269.
[I 2021-06-13 00:26:50,553] Trial 1 finished with value: 1.7582609366931021 and parameters: {'n_estimators': 727, 'max_depth': 3, 'reg_alpha': 4, 'reg_lambda': 2, 'min_child_weight': 0, 'gamma': 3, 'learning_rate': 0.01040729929842442, 'colsample_bytree': 0.95}. Best is trial 0 with value: 1.75385617977269.
[I 2021-06-13 00:31:15,532] Trial 2 finished with value: 1.7514881558927708 and parameters: {'n_estimators': 677, 'max_depth': 4, 'reg_alpha': 2, 'reg_lambda': 3, 'min_child_weight': 4, 'gamma': 2, 'learning_rate': 0.06201960996796921, 'colsample_bytree': 0.77}. Best is trial 2 with value: 1.7514881558927708.
[I 2021-06-13 00:34:22,349] Trial 3 finished with value: 1.7510100428474136 and parameters: {'n_estimators': 556, 'max_depth': 3, 'reg_alpha': 3, 'reg_lambda': 3, 'min_child_weight': 1, 'gamma': 4, 'learning_rate': 0.13314417068096313, 'colsample_bytree': 0.49}. Best is trial 3 with value: 1.7510100428474136.
[I 2021-06-13 00:40:26,095] Trial 4 finished with value: 1.7557185910142958 and parameters: {'n_estimators': 939, 'max_depth': 4, 'reg_alpha': 3, 'reg_lambda': 3, 'min_child_weight': 1, 'gamma': 2, 'learning_rate': 0.006992507039694466, 'colsample_bytree': 0.35}. Best is trial 3 with value: 1.7510100428474136.
[I 2021-06-13 00:42:39,964] Trial 5 finished with value: 1.7514945459103213 and parameters: {'n_estimators': 682, 'max_depth': 2, 'reg_alpha': 2, 'reg_lambda': 1, 'min_child_weight': 2, 'gamma': 2, 'learning_rate': 0.06227563657560751, 'colsample_bytree': 0.33999999999999997}. Best is trial 3 with value: 1.7510100428474136.
[I 2021-06-13 00:55:15,889] Trial 6 finished with value: 1.7486924904636107 and parameters: {'n_estimators': 917, 'max_depth': 6, 'reg_alpha': 4, 'reg_lambda': 3, 'min_child_weight': 0, 'gamma': 5, 'learning_rate': 0.04010633533239592, 'colsample_bytree': 0.55}. Best is trial 6 with value: 1.7486924904636107.
[I 2021-06-13 00:59:43,226] Trial 7 finished with value: 1.7509440366724507 and parameters: {'n_estimators': 952, 'max_depth': 3, 'reg_alpha': 5, 'reg_lambda': 1, 'min_child_weight': 1, 'gamma': 5, 'learning_rate': 0.11233807342806407, 'colsample_bytree': 0.35}. Best is trial 6 with value: 1.7486924904636107.
[I 2021-06-13 01:00:40,658] Trial 8 finished with value: 1.75037934411522 and parameters: {'n_estimators': 983, 'max_depth': 4, 'reg_alpha': 5, 'reg_lambda': 3, 'min_child_weight': 0, 'gamma': 0, 'learning_rate': 0.18257112651097376, 'colsample_bytree': 0.21000000000000002}. Best is trial 6 with value: 1.7486924904636107.
[I 2021-06-13 01:02:58,181] Trial 9 finished with value: 1.7539903219380415 and parameters: {'n_estimators': 547, 'max_depth': 5, 'reg_alpha': 0, 'reg_lambda': 5, 'min_child_weight': 1, 'gamma': 4, 'learning_rate': 0.23852405510665467, 'colsample_bytree': 0.94}. Best is trial 6 with value: 1.7486924904636107.
[I 2021-06-13 01:15:47,448] Trial 10 finished with value: 1.7500652843864635 and parameters: {'n_estimators': 848, 'max_depth': 6, 'reg_alpha': 0, 'reg_lambda': 5, 'min_child_weight': 5, 'gamma': 5, 'learning_rate': 0.030896653742155045, 'colsample_bytree': 0.7}. Best is trial 6 with value: 1.7486924904636107.
